month,demand_plan,ship_plan,bo_open,inv_open,purchase_plan,ship_capped,inv_overflow,purchase_capped,cap_P,cap_S,cap_I,market_potential,share,demand_market,promo_ratio,promotion_spend,demand_ctrl,ship_ctrl,bo_ctrl,inv_ctrl,purchase_ctrl,sell_price_plan,process_driver_ratio,sell_price_eff,unit_process_cost,unit_purchase_cost,unit_holding_cost,revenue,process_cost,purchase_cost,holding_cost,profit,profit_rate,promo_k,promo_uplift,promotion_cost
2026-10,260,260.0,0.0,630.0,250.0,260.0,130.0,250.0,400.0,450.0,500.0,2600.0,0.1,260.0,0.03,7800.0,260.0,260.0,0.0,580.0,250.0,1000.0,1.0,1000.0,120.0,400.0,10.0,260000.0,31200.0,100000.0,6300.0,114700.0,0.4411538461538462,0,0,7800.0
2026-11,320,320.0,0.0,620.0,230.0,320.0,120.0,230.0,400.0,450.0,500.0,3200.0,0.1,320.0,0.03,9600.0,320.0,320.0,0.0,570.0,230.0,1000.0,1.0,1000.0,120.0,400.0,10.0,320000.0,38400.0,92000.0,6200.0,173800.0,0.543125,0,0,9600.0
2026-12,300,300.0,0.0,530.0,230.0,300.0,30.0,230.0,400.0,450.0,500.0,3000.0,0.1,300.0,0.03,9000.0,300.0,300.0,0.0,480.0,230.0,1000.0,1.0,1000.0,120.0,400.0,10.0,300000.0,36000.0,92000.0,5300.0,157700.0,0.5256666666666666,0,0,9000.0
2027-10,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,770.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2027-11,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,850.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2027-12,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,930.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2028-10,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,1730.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2028-11,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,1810.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2028-12,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,400.0,450.0,500.0,800.0,0.1,80.0,0.03,0.0,80.0,0.0,1890.0,0.0,0.0,1000.0,0.8,800.0,120.0,400.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
